,compound,create_date,negative,neutral,news_media,positive,tweets_ago
11,0.0,2017-11-30 21:10:19+00:00,0.0,1.0,CBS,0.0,-11
12,0.6115,2017-11-30 20:54:39+00:00,0.0,0.773,CBS,0.227,-12
13,0.0,2017-11-30 17:40:02+00:00,0.0,1.0,CBS,0.0,-13
14,0.6808,2017-11-30 17:30:05+00:00,0.0,0.752,CBS,0.248,-14
15,0.3612,2017-11-30 15:00:05+00:00,0.0,0.865,CBS,0.135,-15
16,0.0,2017-11-30 12:00:03+00:00,0.0,1.0,CBS,0.0,-16
17,-0.3595,2017-11-30 07:52:09+00:00,0.128,0.872,CBS,0.0,-17
18,0.6239,2017-11-30 04:09:55+00:00,0.0,0.55,CBS,0.45,-18
19,0.0,2017-11-30 04:00:27+00:00,0.0,1.0,CBS,0.0,-19
20,0.5542,2017-11-30 03:59:09+00:00,0.0,0.796,CBS,0.204,-20
21,0.0,2017-11-30 03:55:37+00:00,0.0,1.0,CBS,0.0,-21
22,0.0,2017-11-30 03:51:38+00:00,0.0,1.0,CBS,0.0,-22
23,0.0,2017-11-30 03:44:54+00:00,0.0,1.0,CBS,0.0,-23
